,symbol,date,iexId,isEnabled,name,type
157,AFTY,2018-06-07,9810,True,CSOP FTSE China A50,N/A
158,AG,2018-06-07,154,True,First Majestic Silver Corp. (Canada),cs
159,AGC,2018-06-07,156,True,Advent Claymore Convertible Securities and Income Fund of Beneficial Interest,cs
160,AGCO,2018-06-07,157,True,AGCO Corporation,cs
161,AGD,2018-06-07,158,True,Aberdeen Global Dynamic Dividend Fund,cs
162,AGEN,2018-06-07,160,True,Agenus Inc.,cs
163,AGF,2018-06-07,161,True,DB Agriculture Long ETN due April 1 2038,et
164,AGFS,2018-06-07,8522,True,AgroFresh Solutions Inc.,cs
165,AGFSW,2018-06-07,8533,True,AgroFresh Solutions Inc. Warrants,N/A
166,AGG,2018-06-07,162,True,iShares Core U.S. Aggregate Bond,et
167,AGGE,2018-06-07,11327,True,IQ Enhanced Core Bond U.S.,N/A
168,AGGP,2018-06-07,11328,True,IQ Enhanced Core Plus Bond U.S.,N/A
169,AGGY,2018-06-07,10278,True,WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund,N/A
170,AGI,2018-06-07,10266,True,Alamos Gold Inc. Class A,cs
171,AGIO,2018-06-07,166,True,Agios Pharmaceuticals Inc.,cs
172,AGLE,2018-06-07,11213,True,Aeglea BioTherapeutics Inc.,cs
173,AGM,2018-06-07,168,True,Federal Agricultural Mortgage Corporation,cs
174,AGM-A,2018-06-07,169,True,Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock Series A,ps
175,AGM-B,2018-06-07,8508,True,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,ps
176,AGM-C,2018-06-07,8903,True,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,ps
177,AGM.A,2018-06-07,170,True,Federal Agricultural Mortgage Corporation,cs
178,AGMH,2018-06-07,12923,True,AGM Group Holdings Inc.,cs
179,AGN,2018-06-07,72,True,Allergan plc,cs
180,AGNC,2018-06-07,172,True,AGNC Investment Corp.,cs
181,AGNCB,2018-06-07,8623,True,AGNC Investment Corp. Depositary Shares representing 1/1000th Series B Preferred Stock,ps
182,AGNCN,2018-06-07,13319,True,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferre,ps
183,AGND,2018-06-07,8169,True,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,N/A
184,AGO,2018-06-07,174,True,Assured Guaranty Ltd.,cs
185,AGO-B,2018-06-07,175,True,Assured Guaranty Ltd.,N/A
186,AGO-E,2018-06-07,176,True,Assured Guaranty Ltd.,N/A
187,AGO-F,2018-06-07,177,True,Assured Guaranty Ltd.,N/A
188,AGQ,2018-06-07,179,True,ProShares Ultra Silver,et
189,AGR,2018-06-07,10927,True,Avangrid Inc.,cs
190,AGRO,2018-06-07,180,True,Adecoagro S.A.,cs
191,AGRX,2018-06-07,8646,True,Agile Therapeutics Inc.,cs
192,AGS,2018-06-07,13933,True,PlayAGS Inc.,cs
193,AGT,2018-06-07,12812,True,iShares MSCI Argentina and Global Exposure,N/A
194,AGTC,2018-06-07,8331,True,Applied Genetic Technologies Corporation,cs
195,AGX,2018-06-07,182,True,Argan Inc.,cs
196,AGYS,2018-06-07,183,True,Agilysys Inc.,cs
197,AGZ,2018-06-07,184,True,iShares Agency Bond,et
198,AGZD,2018-06-07,8170,True,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund,N/A
199,AHC,2018-06-07,187,True,A.H. Belo Corporation,cs
200,AHH,2018-06-07,189,True,Armada Hoffler Properties Inc.,cs
201,AHL,2018-06-07,190,True,Aspen Insurance Holdings Limited,cs
202,AHL-C,2018-06-07,14580,True,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,ps
